[22/11/24 02:23:40, INFO, algs.py:sl_multi_server():317]  > Round 51, testing loss: 0.62, testing acc: 78.54%
[22/11/24 02:23:53, INFO, algs.py:sl_multi_server():317]  > Round 52, testing loss: 0.62, testing acc: 78.80%
[22/11/24 02:24:07, INFO, algs.py:sl_multi_server():317]  > Round 53, testing loss: 0.62, testing acc: 78.61%
[22/11/24 02:24:21, INFO, algs.py:sl_multi_server():317]  > Round 54, testing loss: 0.62, testing acc: 79.04%
[22/11/24 02:24:35, INFO, algs.py:sl_multi_server():317]  > Round 55, testing loss: 0.61, testing acc: 79.33%
[22/11/24 02:24:48, INFO, algs.py:sl_multi_server():317]  > Round 56, testing loss: 0.62, testing acc: 78.86%
[22/11/24 02:25:02, INFO, algs.py:sl_multi_server():317]  > Round 57, testing loss: 0.60, testing acc: 79.48%
[22/11/24 02:25:16, INFO, algs.py:sl_multi_server():317]  > Round 58, testing loss: 0.61, testing acc: 79.43%
[22/11/24 02:25:29, INFO, algs.py:sl_multi_server():317]  > Round 59, testing loss: 0.61, testing acc: 79.31%
[22/11/24 02:25:43, INFO, algs.py:sl_multi_server():317]  > Round 60, testing loss: 0.61, testing acc: 78.98%
[22/11/24 02:25:57, INFO, algs.py:sl_multi_server():317]  > Round 61, testing loss: 0.60, testing acc: 79.52%
[22/11/24 02:26:10, INFO, algs.py:sl_multi_server():317]  > Round 62, testing loss: 0.61, testing acc: 79.62%
[22/11/24 02:26:24, INFO, algs.py:sl_multi_server():317]  > Round 63, testing loss: 0.60, testing acc: 79.45%
[22/11/24 02:26:38, INFO, algs.py:sl_multi_server():317]  > Round 64, testing loss: 0.61, testing acc: 79.27%
[22/11/24 02:26:52, INFO, algs.py:sl_multi_server():317]  > Round 65, testing loss: 0.59, testing acc: 79.69%
[22/11/24 02:27:05, INFO, algs.py:sl_multi_server():317]  > Round 66, testing loss: 0.59, testing acc: 79.86%
[22/11/24 02:27:19, INFO, algs.py:sl_multi_server():317]  > Round 67, testing loss: 0.62, testing acc: 79.35%
[22/11/24 02:27:33, INFO, algs.py:sl_multi_server():317]  > Round 68, testing loss: 0.60, testing acc: 79.73%
[22/11/24 02:27:46, INFO, algs.py:sl_multi_server():317]  > Round 69, testing loss: 0.59, testing acc: 79.49%
[22/11/24 02:28:00, INFO, algs.py:sl_multi_server():317]  > Round 70, testing loss: 0.60, testing acc: 79.79%
[22/11/24 02:28:14, INFO, algs.py:sl_multi_server():317]  > Round 71, testing loss: 0.59, testing acc: 80.11%
[22/11/24 02:28:27, INFO, algs.py:sl_multi_server():317]  > Round 72, testing loss: 0.59, testing acc: 80.06%
