[22/11/24 02:23:26, INFO, algs.py:fed_avg():124]  > Round 53, testing loss: 0.62, testing acc: 79.47%
[22/11/24 02:23:40, INFO, algs.py:fed_avg():124]  > Round 54, testing loss: 0.62, testing acc: 79.19%
[22/11/24 02:23:53, INFO, algs.py:fed_avg():124]  > Round 55, testing loss: 0.61, testing acc: 79.24%
[22/11/24 02:24:06, INFO, algs.py:fed_avg():124]  > Round 56, testing loss: 0.61, testing acc: 79.64%
[22/11/24 02:24:20, INFO, algs.py:fed_avg():124]  > Round 57, testing loss: 0.61, testing acc: 79.65%
[22/11/24 02:24:33, INFO, algs.py:fed_avg():124]  > Round 58, testing loss: 0.61, testing acc: 79.61%
[22/11/24 02:24:46, INFO, algs.py:fed_avg():124]  > Round 59, testing loss: 0.60, testing acc: 80.16%
[22/11/24 02:25:00, INFO, algs.py:fed_avg():124]  > Round 60, testing loss: 0.60, testing acc: 79.86%
[22/11/24 02:25:13, INFO, algs.py:fed_avg():124]  > Round 61, testing loss: 0.60, testing acc: 79.59%
[22/11/24 02:25:26, INFO, algs.py:fed_avg():124]  > Round 62, testing loss: 0.59, testing acc: 80.10%
[22/11/24 02:25:40, INFO, algs.py:fed_avg():124]  > Round 63, testing loss: 0.59, testing acc: 79.98%
[22/11/24 02:25:53, INFO, algs.py:fed_avg():124]  > Round 64, testing loss: 0.59, testing acc: 80.06%
[22/11/24 02:26:06, INFO, algs.py:fed_avg():124]  > Round 65, testing loss: 0.59, testing acc: 80.32%
[22/11/24 02:26:20, INFO, algs.py:fed_avg():124]  > Round 66, testing loss: 0.60, testing acc: 79.80%
[22/11/24 02:26:33, INFO, algs.py:fed_avg():124]  > Round 67, testing loss: 0.60, testing acc: 80.06%
[22/11/24 02:26:47, INFO, algs.py:fed_avg():124]  > Round 68, testing loss: 0.59, testing acc: 80.28%
[22/11/24 02:27:00, INFO, algs.py:fed_avg():124]  > Round 69, testing loss: 0.59, testing acc: 80.09%
[22/11/24 02:27:13, INFO, algs.py:fed_avg():124]  > Round 70, testing loss: 0.60, testing acc: 80.16%
[22/11/24 02:27:27, INFO, algs.py:fed_avg():124]  > Round 71, testing loss: 0.59, testing acc: 80.28%
[22/11/24 02:27:40, INFO, algs.py:fed_avg():124]  > Round 72, testing loss: 0.59, testing acc: 80.27%
[22/11/24 02:27:53, INFO, algs.py:fed_avg():124]  > Round 73, testing loss: 0.59, testing acc: 80.67%
[22/11/24 02:28:07, INFO, algs.py:fed_avg():124]  > Round 74, testing loss: 0.59, testing acc: 79.82%
[22/11/24 02:28:20, INFO, algs.py:fed_avg():124]  > Round 75, testing loss: 0.60, testing acc: 80.04%
[22/11/24 02:28:33, INFO, algs.py:fed_avg():124]  > Round 76, testing loss: 0.57, testing acc: 80.86%
[22/11/24 02:28:47, INFO, algs.py:fed_avg():124]  > Round 77, testing loss: 0.58, testing acc: 80.62%
[22/11/24 02:29:00, INFO, algs.py:fed_avg():124]  > Round 78, testing loss: 0.59, testing acc: 80.59%
[22/11/24 02:29:14, INFO, algs.py:fed_avg():124]  > Round 79, testing loss: 0.58, testing acc: 80.40%
[22/11/24 02:29:27, INFO, algs.py:fed_avg():124]  > Round 80, testing loss: 0.58, testing acc: 81.18%
[22/11/24 02:29:40, INFO, algs.py:fed_avg():124]  > Round 81, testing loss: 0.58, testing acc: 80.67%
[22/11/24 02:29:54, INFO, algs.py:fed_avg():124]  > Round 82, testing loss: 0.58, testing acc: 80.41%
[22/11/24 02:30:07, INFO, algs.py:fed_avg():124]  > Round 83, testing loss: 0.58, testing acc: 80.92%
[22/11/24 02:30:20, INFO, algs.py:fed_avg():124]  > Round 84, testing loss: 0.59, testing acc: 80.79%
[22/11/24 02:30:34, INFO, algs.py:fed_avg():124]  > Round 85, testing loss: 0.58, testing acc: 80.91%
[22/11/24 02:30:47, INFO, algs.py:fed_avg():124]  > Round 86, testing loss: 0.59, testing acc: 80.40%
[22/11/24 02:31:00, INFO, algs.py:fed_avg():124]  > Round 87, testing loss: 0.58, testing acc: 80.38%
[22/11/24 02:31:14, INFO, algs.py:fed_avg():124]  > Round 88, testing loss: 0.57, testing acc: 80.84%
[22/11/24 02:31:27, INFO, algs.py:fed_avg():124]  > Round 89, testing loss: 0.58, testing acc: 80.81%
[22/11/24 02:31:40, INFO, algs.py:fed_avg():124]  > Round 90, testing loss: 0.58, testing acc: 80.74%
[22/11/24 02:31:54, INFO, algs.py:fed_avg():124]  > Round 91, testing loss: 0.59, testing acc: 80.69%
[22/11/24 02:32:07, INFO, algs.py:fed_avg():124]  > Round 92, testing loss: 0.58, testing acc: 80.65%
[22/11/24 02:32:21, INFO, algs.py:fed_avg():124]  > Round 93, testing loss: 0.58, testing acc: 80.66%
[22/11/24 02:32:34, INFO, algs.py:fed_avg():124]  > Round 94, testing loss: 0.58, testing acc: 80.78%
[22/11/24 02:32:47, INFO, algs.py:fed_avg():124]  > Round 95, testing loss: 0.57, testing acc: 80.96%
[22/11/24 02:33:01, INFO, algs.py:fed_avg():124]  > Round 96, testing loss: 0.58, testing acc: 80.76%
[22/11/24 02:33:14, INFO, algs.py:fed_avg():124]  > Round 97, testing loss: 0.58, testing acc: 80.43%
[22/11/24 02:33:28, INFO, algs.py:fed_avg():124]  > Round 98, testing loss: 0.58, testing acc: 80.95%
[22/11/24 02:33:41, INFO, algs.py:fed_avg():124]  > Round 99, testing loss: 0.58, testing acc: 80.77%
[22/11/24 02:33:54, INFO, algs.py:fed_avg():124]  > Round 100, testing loss: 0.57, testing acc: 80.71%
[22/11/24 02:34:08, INFO, algs.py:fed_avg():124]  > Round 101, testing loss: 0.58, testing acc: 81.11%
[22/11/24 02:34:21, INFO, algs.py:fed_avg():124]  > Round 102, testing loss: 0.57, testing acc: 81.23%
[22/11/24 02:34:34, INFO, algs.py:fed_avg():124]  > Round 103, testing loss: 0.58, testing acc: 81.19%
[22/11/24 02:34:48, INFO, algs.py:fed_avg():124]  > Round 104, testing loss: 0.58, testing acc: 81.22%
[22/11/24 02:35:01, INFO, algs.py:fed_avg():124]  > Round 105, testing loss: 0.57, testing acc: 81.09%
[22/11/24 02:35:14, INFO, algs.py:fed_avg():124]  > Round 106, testing loss: 0.58, testing acc: 80.96%
[22/11/24 02:35:28, INFO, algs.py:fed_avg():124]  > Round 107, testing loss: 0.56, testing acc: 81.24%
[22/11/24 02:35:41, INFO, algs.py:fed_avg():124]  > Round 108, testing loss: 0.57, testing acc: 81.28%
[22/11/24 02:35:55, INFO, algs.py:fed_avg():124]  > Round 109, testing loss: 0.56, testing acc: 81.33%
[22/11/24 02:36:08, INFO, algs.py:fed_avg():124]  > Round 110, testing loss: 0.56, testing acc: 81.15%
[22/11/24 02:36:21, INFO, algs.py:fed_avg():124]  > Round 111, testing loss: 0.57, testing acc: 81.15%
[22/11/24 02:36:35, INFO, algs.py:fed_avg():124]  > Round 112, testing loss: 0.57, testing acc: 80.87%
[22/11/24 02:36:48, INFO, algs.py:fed_avg():124]  > Round 113, testing loss: 0.57, testing acc: 81.26%
[22/11/24 02:37:02, INFO, algs.py:fed_avg():124]  > Round 114, testing loss: 0.57, testing acc: 81.41%
[22/11/24 02:37:15, INFO, algs.py:fed_avg():124]  > Round 115, testing loss: 0.58, testing acc: 81.36%
[22/11/24 02:37:28, INFO, algs.py:fed_avg():124]  > Round 116, testing loss: 0.57, testing acc: 81.42%
[22/11/24 02:37:42, INFO, algs.py:fed_avg():124]  > Round 117, testing loss: 0.57, testing acc: 81.20%
[22/11/24 02:37:55, INFO, algs.py:fed_avg():124]  > Round 118, testing loss: 0.58, testing acc: 81.26%
[22/11/24 02:38:08, INFO, algs.py:fed_avg():124]  > Round 119, testing loss: 0.59, testing acc: 81.03%
[22/11/24 02:38:21, INFO, algs.py:fed_avg():124]  > Round 120, testing loss: 0.57, testing acc: 81.54%
[22/11/24 02:38:34, INFO, algs.py:fed_avg():124]  > Round 121, testing loss: 0.58, testing acc: 81.34%
[22/11/24 02:38:47, INFO, algs.py:fed_avg():124]  > Round 122, testing loss: 0.57, testing acc: 81.34%
[22/11/24 02:39:00, INFO, algs.py:fed_avg():124]  > Round 123, testing loss: 0.58, testing acc: 81.42%
[22/11/24 02:39:13, INFO, algs.py:fed_avg():124]  > Round 124, testing loss: 0.58, testing acc: 81.12%
[22/11/24 02:39:26, INFO, algs.py:fed_avg():124]  > Round 125, testing loss: 0.58, testing acc: 81.28%
[22/11/24 02:39:39, INFO, algs.py:fed_avg():124]  > Round 126, testing loss: 0.57, testing acc: 81.25%
[22/11/24 02:39:52, INFO, algs.py:fed_avg():124]  > Round 127, testing loss: 0.57, testing acc: 81.03%
[22/11/24 02:40:05, INFO, algs.py:fed_avg():124]  > Round 128, testing loss: 0.58, testing acc: 80.87%
[22/11/24 02:40:18, INFO, algs.py:fed_avg():124]  > Round 129, testing loss: 0.56, testing acc: 81.49%
[22/11/24 02:40:31, INFO, algs.py:fed_avg():124]  > Round 130, testing loss: 0.58, testing acc: 81.19%
[22/11/24 02:40:44, INFO, algs.py:fed_avg():124]  > Round 131, testing loss: 0.58, testing acc: 81.60%
[22/11/24 02:40:57, INFO, algs.py:fed_avg():124]  > Round 132, testing loss: 0.58, testing acc: 80.95%
[22/11/24 02:41:10, INFO, algs.py:fed_avg():124]  > Round 133, testing loss: 0.58, testing acc: 81.12%
[22/11/24 02:41:23, INFO, algs.py:fed_avg():124]  > Round 134, testing loss: 0.57, testing acc: 81.32%
[22/11/24 02:41:36, INFO, algs.py:fed_avg():124]  > Round 135, testing loss: 0.56, testing acc: 81.55%
[22/11/24 02:41:49, INFO, algs.py:fed_avg():124]  > Round 136, testing loss: 0.56, testing acc: 81.48%
[22/11/24 02:42:02, INFO, algs.py:fed_avg():124]  > Round 137, testing loss: 0.57, testing acc: 81.23%
[22/11/24 02:42:16, INFO, algs.py:fed_avg():124]  > Round 138, testing loss: 0.57, testing acc: 81.14%
[22/11/24 02:42:29, INFO, algs.py:fed_avg():124]  > Round 139, testing loss: 0.58, testing acc: 81.30%
[22/11/24 02:42:43, INFO, algs.py:fed_avg():124]  > Round 140, testing loss: 0.57, testing acc: 81.38%
[22/11/24 02:42:56, INFO, algs.py:fed_avg():124]  > Round 141, testing loss: 0.58, testing acc: 81.20%
[22/11/24 02:43:09, INFO, algs.py:fed_avg():124]  > Round 142, testing loss: 0.57, testing acc: 81.37%
[22/11/24 02:43:23, INFO, algs.py:fed_avg():124]  > Round 143, testing loss: 0.58, testing acc: 81.46%
[22/11/24 02:43:36, INFO, algs.py:fed_avg():124]  > Round 144, testing loss: 0.57, testing acc: 81.00%
[22/11/24 02:43:50, INFO, algs.py:fed_avg():124]  > Round 145, testing loss: 0.57, testing acc: 81.66%
[22/11/24 02:44:03, INFO, algs.py:fed_avg():124]  > Round 146, testing loss: 0.57, testing acc: 81.32%
[22/11/24 02:44:16, INFO, algs.py:fed_avg():124]  > Round 147, testing loss: 0.57, testing acc: 81.19%
[22/11/24 02:44:30, INFO, algs.py:fed_avg():124]  > Round 148, testing loss: 0.57, testing acc: 81.21%
[22/11/24 02:44:43, INFO, algs.py:fed_avg():124]  > Round 149, testing loss: 0.57, testing acc: 81.47%
[22/11/24 02:44:56, INFO, algs.py:fed_avg():124]  > Round 150, testing loss: 0.56, testing acc: 81.41%
[22/11/24 02:45:10, INFO, algs.py:fed_avg():124]  > Round 151, testing loss: 0.57, testing acc: 81.39%
[22/11/24 02:45:23, INFO, algs.py:fed_avg():124]  > Round 152, testing loss: 0.57, testing acc: 81.64%
[22/11/24 02:45:37, INFO, algs.py:fed_avg():124]  > Round 153, testing loss: 0.57, testing acc: 81.43%
[22/11/24 02:45:50, INFO, algs.py:fed_avg():124]  > Round 154, testing loss: 0.57, testing acc: 81.49%
[22/11/24 02:46:03, INFO, algs.py:fed_avg():124]  > Round 155, testing loss: 0.56, testing acc: 81.91%
[22/11/24 02:46:17, INFO, algs.py:fed_avg():124]  > Round 156, testing loss: 0.58, testing acc: 81.27%
[22/11/24 02:46:30, INFO, algs.py:fed_avg():124]  > Round 157, testing loss: 0.59, testing acc: 81.13%
[22/11/24 02:46:44, INFO, algs.py:fed_avg():124]  > Round 158, testing loss: 0.57, testing acc: 81.84%
[22/11/24 02:46:57, INFO, algs.py:fed_avg():124]  > Round 159, testing loss: 0.57, testing acc: 81.37%
[22/11/24 02:47:10, INFO, algs.py:fed_avg():124]  > Round 160, testing loss: 0.58, testing acc: 81.40%
[22/11/24 02:47:24, INFO, algs.py:fed_avg():124]  > Round 161, testing loss: 0.57, testing acc: 81.40%
[22/11/24 02:47:37, INFO, algs.py:fed_avg():124]  > Round 162, testing loss: 0.57, testing acc: 81.55%
[22/11/24 02:47:51, INFO, algs.py:fed_avg():124]  > Round 163, testing loss: 0.57, testing acc: 81.26%
[22/11/24 02:48:04, INFO, algs.py:fed_avg():124]  > Round 164, testing loss: 0.57, testing acc: 81.37%
[22/11/24 02:48:17, INFO, algs.py:fed_avg():124]  > Round 165, testing loss: 0.56, testing acc: 81.42%
[22/11/24 02:48:31, INFO, algs.py:fed_avg():124]  > Round 166, testing loss: 0.57, testing acc: 81.77%
[22/11/24 02:48:44, INFO, algs.py:fed_avg():124]  > Round 167, testing loss: 0.57, testing acc: 81.64%
[22/11/24 02:48:57, INFO, algs.py:fed_avg():124]  > Round 168, testing loss: 0.58, testing acc: 81.38%
[22/11/24 02:49:11, INFO, algs.py:fed_avg():124]  > Round 169, testing loss: 0.59, testing acc: 81.59%
[22/11/24 02:49:24, INFO, algs.py:fed_avg():124]  > Round 170, testing loss: 0.56, testing acc: 81.32%
[22/11/24 02:49:38, INFO, algs.py:fed_avg():124]  > Round 171, testing loss: 0.57, testing acc: 81.62%
[22/11/24 02:49:51, INFO, algs.py:fed_avg():124]  > Round 172, testing loss: 0.58, testing acc: 80.92%
[22/11/24 02:50:04, INFO, algs.py:fed_avg():124]  > Round 173, testing loss: 0.57, testing acc: 81.59%
[22/11/24 02:50:18, INFO, algs.py:fed_avg():124]  > Round 174, testing loss: 0.58, testing acc: 81.52%
[22/11/24 02:50:31, INFO, algs.py:fed_avg():124]  > Round 175, testing loss: 0.58, testing acc: 81.52%
[22/11/24 02:50:44, INFO, algs.py:fed_avg():124]  > Round 176, testing loss: 0.58, testing acc: 81.36%
[22/11/24 02:50:58, INFO, algs.py:fed_avg():124]  > Round 177, testing loss: 0.57, testing acc: 81.42%
[22/11/24 02:51:11, INFO, algs.py:fed_avg():124]  > Round 178, testing loss: 0.58, testing acc: 81.57%
[22/11/24 02:51:25, INFO, algs.py:fed_avg():124]  > Round 179, testing loss: 0.58, testing acc: 81.76%
[22/11/24 02:51:38, INFO, algs.py:fed_avg():124]  > Round 180, testing loss: 0.57, testing acc: 81.90%
[22/11/24 02:51:51, INFO, algs.py:fed_avg():124]  > Round 181, testing loss: 0.58, testing acc: 81.99%
[22/11/24 02:52:05, INFO, algs.py:fed_avg():124]  > Round 182, testing loss: 0.56, testing acc: 81.69%
[22/11/24 02:52:18, INFO, algs.py:fed_avg():124]  > Round 183, testing loss: 0.57, testing acc: 81.74%
[22/11/24 02:52:31, INFO, algs.py:fed_avg():124]  > Round 184, testing loss: 0.59, testing acc: 81.71%
[22/11/24 02:52:45, INFO, algs.py:fed_avg():124]  > Round 185, testing loss: 0.57, testing acc: 81.87%
[22/11/24 02:52:58, INFO, algs.py:fed_avg():124]  > Round 186, testing loss: 0.56, testing acc: 82.08%
[22/11/24 02:53:12, INFO, algs.py:fed_avg():124]  > Round 187, testing loss: 0.57, testing acc: 82.05%
[22/11/24 02:53:25, INFO, algs.py:fed_avg():124]  > Round 188, testing loss: 0.58, testing acc: 81.82%
[22/11/24 02:53:38, INFO, algs.py:fed_avg():124]  > Round 189, testing loss: 0.58, testing acc: 82.31%
[22/11/24 02:53:52, INFO, algs.py:fed_avg():124]  > Round 190, testing loss: 0.59, testing acc: 81.66%
[22/11/24 02:54:05, INFO, algs.py:fed_avg():124]  > Round 191, testing loss: 0.57, testing acc: 81.64%
[22/11/24 02:54:19, INFO, algs.py:fed_avg():124]  > Round 192, testing loss: 0.58, testing acc: 81.82%
[22/11/24 02:54:32, INFO, algs.py:fed_avg():124]  > Round 193, testing loss: 0.57, testing acc: 81.42%
[22/11/24 02:54:45, INFO, algs.py:fed_avg():124]  > Round 194, testing loss: 0.58, testing acc: 81.67%
[22/11/24 02:54:59, INFO, algs.py:fed_avg():124]  > Round 195, testing loss: 0.58, testing acc: 81.55%
[22/11/24 02:55:12, INFO, algs.py:fed_avg():124]  > Round 196, testing loss: 0.59, testing acc: 81.37%
[22/11/24 02:55:26, INFO, algs.py:fed_avg():124]  > Round 197, testing loss: 0.58, testing acc: 81.48%
[22/11/24 02:55:39, INFO, algs.py:fed_avg():124]  > Round 198, testing loss: 0.57, testing acc: 81.82%
[22/11/24 02:55:52, INFO, algs.py:fed_avg():124]  > Round 199, testing loss: 0.57, testing acc: 81.48%
[22/11/24 02:55:52, INFO, baselines.py:train_alg():151] [NOTICE] Saved results to '../saves/baselines/fed_avg/test_metrics.json'.
